meanfreq,sd,median,Q25,Q75,IQR,sp.ent,sfm,centroid,kurt,skew,label
3.3956378083497764e-20,2.416476541378652e-19,8.489372109581746e-21,6.784248613149767e-21,1.5405883723140202e-20,8.621635109990435e-21,9.382493402990962e-16,29449549.404161334,499.9859710929309,405.59026121536573,19.46685100215381,female
5.332588080952933e-20,3.645872443988231e-19,1.492624192414166e-20,6.967100980326945e-21,2.5470170716212003e-20,1.8503069735885058e-20,1.4734484029065568e-15,18752621.39405885,499.87029312394685,390.47661543739474,19.000713288860805,female
3.160460537358783e-20,3.768501508344864e-19,5.322866310220286e-21,4.206803780163606e-21,9.630406280294573e-21,5.423602500130967e-21,8.732673754238975e-16,31640959.277417324,499.92976404051115,480.6535386049218,21.824198396106702,female
3.266917713328742e-20,2.3659128011557303e-19,8.424487072721036e-21,3.918725303070408e-21,1.547593697830169e-20,1.1557211675231283e-20,9.026826661672974e-16,30609893.496528346,499.8367139464589,406.62002898712467,19.497485080085756,female
2.56237240527265e-20,2.4391033364396526e-19,5.876979780385283e-21,3.307015821317432e-21,9.826543728544361e-21,6.519527907226929e-21,7.080096002209419e-16,39026334.48463519,499.88612528199377,460.06644273323775,21.16658796017359,female
2.4523195617761904e-20,2.3485903543383587e-19,5.091843967858137e-21,4.036764737086382e-21,9.235943426108322e-21,5.19917868902194e-21,6.776008801844112e-16,40777720.820319,499.97891397403464,461.05544371890386,21.198014901426305,female
4.1743219906956964e-20,3.268587975829909e-19,1.0846124179661358e-20,5.337505334886971e-21,1.8366740393380642e-20,1.3029235058493671e-20,1.1534076821171648e-15,23955987.19916927,499.876757340276,426.9332613296929,20.127286528156475,female
4.540536023133285e-20,2.0848365600558678e-19,1.1491885510610228e-20,5.760205623921106e-21,2.642484948440729e-20,2.0664643860486183e-20,1.254596421801278e-15,22023832.435432788,499.77584970217686,169.72470598120103,12.374123663144541,female
6.527335106194189e-20,3.4974676310391116e-19,2.083457074087491e-20,7.952919143245491e-21,3.4841729184054495e-20,2.6888810040809002e-20,1.803569214916873e-15,15320188.85202215,499.8489979295904,282.241115631844,15.720198198262867,female
5.664935032849965e-20,2.588803837864961e-19,2.014240157028385e-20,7.448438685756659e-21,3.1924753339877704e-20,2.4476314654121046e-20,1.5652793249023199e-15,17652454.10318901,499.8137702149248,172.49405140212235,12.45976873071513,female
4.5740318220420365e-20,2.2096355554247426e-19,1.3509064578986488e-20,9.057947444996622e-21,2.39326341025631e-20,1.487468665756648e-20,1.263851647680737e-15,21862551.128773093,499.8580961907857,232.8263424428271,14.253410926537262,female
3.694923703397511e-20,1.9073772376175604e-19,1.0689572684254736e-20,7.279490415503657e-21,1.8919669901102914e-20,1.1640179485599257e-20,1.020945110957146e-15,27064159.29589329,499.8579723236122,275.8756256363956,15.535976700273748,female
4.931062212411383e-20,2.773244481525505e-19,1.3535149099401057e-20,1.0857792715028946e-20,2.4553624076011004e-20,1.3695831360982057e-20,1.3625027618107614e-15,20279607.23743473,499.95248134297213,320.537612705283,16.876261862637612,female
4.575803692131851e-20,2.1000837866549496e-19,1.1675443899866255e-20,5.807924338291273e-21,2.6585397013419745e-20,2.077747267512847e-20,1.2643412381991334e-15,21854085.38127465,499.77726479937786,169.5771486498742,12.369908731623944,female
3.1942883058167203e-20,2.544944220392961e-19,7.574632388539887e-21,6.090472122565706e-21,1.3646702955740668e-20,7.556230833174962e-21,8.826144104962656e-16,31305879.00039807,499.99264534905245,431.59824054014643,20.272857115252602,female
5.2425374738799957e-20,3.2829905490389343e-19,1.617650117377657e-20,5.5936153926719295e-21,2.6479475506066794e-20,2.0885860113394865e-20,1.448566525889886e-15,19074733.512304764,499.8507859708387,357.1017322488501,17.979895127635277,female
6.312390885389197e-20,2.956101911684713e-19,1.7870621158371725e-20,1.3691133561049054e-20,3.293886512661668e-20,1.924773156556763e-20,1.74417796709201e-15,15841858.992580596,499.90090098912475,212.99888752965344,13.667316028926487,female
1.8816548539012762e-20,3.1211823143370846e-19,1.7067922148972883e-21,1.3216633384513568e-21,3.1338690941540156e-21,1.8122057557026588e-21,5.199203522388438e-16,53144710.186524354,499.97195372029967,492.7795556404546,22.21957349568067,female
4.807726160320299e-20,2.67114317643925e-19,1.5548714040352022e-20,3.5366363740228515e-21,2.6692039234732695e-20,2.3155402860709843e-20,1.3284237568927985e-15,20799854.54102075,499.80695935296774,291.7898090937958,16.002506701658792,female
2.190906253044845e-20,2.9770310297131217e-19,3.0721506828867738e-21,2.287122349413863e-21,5.596900847287333e-21,3.30977849787347e-21,6.053696803021693e-16,45643213.64819952,499.9404038126689,487.26609311936494,22.038646956209853,female
1.4414820725971167e-20,2.1363580762429282e-19,1.7267703514685335e-21,1.2744717710333515e-21,3.1510705028070694e-21,1.876598731773718e-21,3.982961700136974e-16,69373045.52203694,499.94699857612386,490.22313011285934,22.135364459173573,female
2.0086126050344452e-20,2.099510011487771e-19,4.250985252966955e-21,2.534011059085599e-21,7.094507630894444e-21,4.560496571808845e-21,5.550001285514955e-16,49785609.110471435,499.89363428338766,470.36280453831876,21.493941309190024,female
4.816241139957591e-20,2.775035297818366e-19,1.3175246052955683e-20,1.0600744318335149e-20,2.3796016128794104e-20,1.3195271810458956e-20,1.3307765270480826e-15,20763080.981679786,499.9585023522811,331.4081920946031,17.204189142104504,female
6.079760332803844e-20,2.770152382195569e-19,1.7800884367343548e-20,1.2764581450451929e-20,3.215370675385472e-20,1.9389125303402792e-20,1.6798997809212323e-15,16448017.784549585,499.8713306434413,189.90934098871242,12.983901645399554,female
4.780461380557543e-20,3.8956494612824873e-19,1.1659383613997452e-20,7.204784056660515e-21,2.0365621349195927e-20,1.3160837292535412e-20,1.3208901394551496e-15,20918483.974613894,499.96273671912394,435.50331066428527,20.394498589969075,female
7.262481360586196e-20,3.7697593666574897e-19,2.229671077211375e-20,1.1515044220500623e-20,3.839683883690219e-20,2.688179461640157e-20,2.006697610899152e-15,13769399.506507346,499.86028185699104,268.89858703181136,15.323221823997425,female
1.7465482848586364e-20,2.8080623557861386e-19,1.7282750222447026e-21,1.3473145989955319e-21,3.171078446689187e-21,1.823763847693655e-21,4.825890462322406e-16,57255789.95638144,499.9600719481551,492.19551539105436,22.200274065710747,female
6.383210377107551e-20,3.181436246398133e-19,2.1588143019040712e-20,7.215241353665139e-21,3.5098377299471143e-20,2.788313594580601e-20,1.7637461018830672e-15,15666099.106155228,499.8351128696872,235.48660256815174,14.32396107741118,female
5.751285898604414e-20,3.0985512407786184e-19,1.9835190233640835e-20,5.2368078393296294e-21,3.141695257047355e-20,2.6180144731143922e-20,1.5891389217631205e-15,17387416.921065703,499.8299653756082,279.0246194208423,15.621244321051803,female
6.35644859444437e-20,3.596212270305808e-19,1.977189997556192e-20,7.890936626424571e-21,3.327817349678284e-20,2.5387236870358267e-20,1.7563515199865948e-15,15732056.174236022,499.85421595063,311.5079689364592,16.599512795113064,female
2.87383180653581e-20,2.0082440130205826e-19,6.283186659402705e-21,3.4628722045896864e-21,1.4141279766467393e-20,1.0678407561877707e-20,7.940690321439287e-16,34796748.59412604,499.8092746085366,395.30280012634864,19.14843088010708,female
8.032727204767986e-20,3.641543258472999e-19,2.388579363054181e-20,1.7434195405999158e-20,4.28899334900403e-20,2.545573808404114e-20,2.2195244110738608e-15,12449073.083592722,499.8724286897248,183.60524194231968,12.79707432965665,female
5.744935280091435e-20,2.6965522198404597e-19,1.6357204001389067e-20,1.2725532038954309e-20,2.997512296964461e-20,1.7249590930690305e-20,1.5873842043242673e-15,17406637.476225834,499.88507467281477,214.2578777081612,13.704240134401799,female
3.901750536365935e-20,3.276353227373294e-19,9.110435293955652e-21,7.632218508950216e-21,1.6275950353112134e-20,8.643731844161919e-21,1.0780934057272244e-15,25629522.68980389,499.9704878736246,441.314067456372,20.576278191634483,female
2.398655127439004e-20,2.490424909926147e-19,4.642214675035974e-21,3.684817751258569e-21,8.423346449586098e-21,4.738528698327529e-21,6.627728421636251e-16,41690029.23960147,499.97082528231965,469.81755535273453,21.47658948075263,female
2.6152674031055122e-20,2.044128255249289e-19,5.9029159891034725e-21,3.3738850911741556e-21,1.181906248835113e-20,8.445177397176976e-21,7.226250459216021e-16,38237008.76496216,499.83675924667136,425.9597188289442,20.096807962222353,female
3.2344896723598357e-20,3.5503160176988392e-19,5.976347315194661e-21,4.917396405666519e-21,1.0800545779589871e-20,5.883149373923352e-21,8.937223972691338e-16,30916779.264756437,499.9573496417279,474.7216266685849,21.63341382634448,female
3.719078085506151e-20,3.4828184086039125e-19,8.009601823725905e-21,6.718814685417419e-21,1.433036242655759e-20,7.61154774114017e-21,1.0276191284411336e-15,26888385.08360142,499.9613142501576,458.0994900343846,21.10439792310372,female
5.55851840172423e-20,2.510615660989816e-19,1.964195432077452e-20,8.640960058399741e-21,3.079208696633608e-20,2.2151126907936336e-20,1.5358753271916765e-15,17990406.49528042,499.82332031619984,170.0126790547079,12.39034364799508,female
4.949629452366402e-20,3.034290187636535e-19,1.613017244502211e-20,4.78754554196409e-21,2.554934821994863e-20,2.076180267798454e-20,1.3676330646247804e-15,20203533.6002405,499.83882140270276,346.8709677009775,17.668399444769666,female
4.2803157161251665e-20,2.1668548736668912e-19,1.1995518062416338e-20,8.875603964870943e-21,2.1928135381311594e-20,1.3052531416440651e-20,1.1826948905663229e-15,23362763.61661488,499.87708937014696,265.144773828414,15.216059183837432,female
4.3237588148463565e-20,1.993544505682127e-19,1.0268515986974446e-20,5.289626218063471e-21,2.5497627526090282e-20,2.020800130802681e-20,1.1946986695203845e-15,23128025.545825902,499.7637261665432,169.85847633701195,12.376277233100542,female
5.621598775318851e-20,2.8300026730669694e-19,2.1025440769093415e-20,4.8333556256192185e-21,3.177922190365347e-20,2.694586627803425e-20,1.5533050614119124e-15,17788534.831165228,499.8131018884358,233.74144463116724,14.268173775738163,female
3.6160851881098154e-20,3.181665140529044e-19,8.516157066441824e-21,4.754971277448323e-21,1.4689738012405894e-20,9.93476673495757e-21,9.991611593593906e-16,27654216.76040546,499.88946853233705,448.9609023519693,20.816167144059676,female
8.409626076395134e-20,3.7755840597057082e-19,2.4378968553495692e-20,1.9448246631452064e-20,4.462844346223207e-20,2.5180196830780008e-20,2.323665407317201e-15,11891136.122009914,499.9147280369252,178.66448135147152,12.65309216421097,female
6.181778227162653e-20,2.9424948535342646e-19,1.745079386856412e-20,1.3421320909504564e-20,3.21519608525312e-20,1.8730639943026634e-20,1.7080883568831747e-15,16176576.14153404,499.907683112838,224.77080415270464,14.015934980056272,female
2.1003792062910455e-20,1.9094832822146887e-19,4.478800989998917e-21,2.780842532609415e-21,8.43116601019013e-21,5.650323477580715e-21,5.803561851025019e-16,47610451.389376774,499.86213805673646,453.7600445396565,20.967243926863226,female
3.01746108143161e-20,2.9242353980602775e-19,6.242610117844031e-21,5.0596292186782e-21,1.1300356307468642e-20,6.240727088790442e-21,8.3375522215353e-16,33140445.002860755,499.9673903067827,462.4182529349371,21.24119844400443,female
1.686992237264785e-20,3.341281476720129e-19,6.697136774765154e-22,5.138004357702511e-22,1.2362588369449113e-21,7.224584011746602e-22,4.661330693769133e-16,59277096.52601758,499.98653356891987,494.7013788298961,22.283456760542034,female
5.2687988877686e-20,2.581758143032886e-19,1.6544266616100852e-20,4.30322005931258e-21,3.043708765660447e-20,2.613386759729189e-20,1.4558228638044974e-15,18979658.817675352,499.7957778947442,210.93859229824585,13.588995241877772,female
3.6185529980324385e-20,2.3819822185512977e-19,9.329690860029473e-21,7.402707890094285e-21,1.6887272622425702e-20,9.484564732331417e-21,9.998430849297532e-16,27635356.915575057,499.96973397062493,383.1050418207264,18.77619400798221,female
6.265701522332147e-20,2.8154363370588247e-19,2.0448950690384078e-20,1.0424609380278307e-20,3.4226302154960316e-20,2.380169277468201e-20,1.7312772275040785e-15,15959905.831658056,499.840820837028,169.39780314477892,12.37446816820893,female
5.577997568407956e-20,2.525643605524186e-19,1.8041493097005615e-20,9.915105347441687e-21,3.016867133566716e-20,2.0253565988225476e-20,1.5412576190727289e-15,17927581.42175663,499.84026087790886,178.61705347410577,12.64738275240026,female
3.169095252366618e-20,2.2933280452591016e-19,7.823903947241198e-21,6.217600247559351e-21,1.421318439121094e-20,7.99558414365159e-21,8.756533247675786e-16,31554748.34478846,499.98372495194235,410.23191166529966,19.610191706397032,female
5.422660340380301e-20,2.7383301846759337e-19,1.9697102603404617e-20,4.335136568330999e-21,3.078684284354703e-20,2.6451706275216032e-20,1.4983363457706698e-15,18441133.89842955,499.8064477607166,233.3767895464113,14.25622348178679,female
